item_type	item_sku	external_product_id	external_product_id_type	brand_name	feed_product_type	item_name	manufacturer	part_number	standard_price	quantity	migrated_shipping_group_name	main_image_url	product_description	fulfillment_center_id	package_length	package_width	package_height	package_weight	package_weight_unit_of_measure	package_length_unit_of_measure	
craft-supplies	IME003	741360349193	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Fern 	Dee's Distinctively	IME003	9	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME003r.jpg	Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines.<div><br>Single die cuts one piece. &nbsp;<div><br></div><div>Size: 1 1/2 x 3 1/2 in.</div><div><br></div></div> 	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME006	741360349230	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Philodendron 	Dee's Distinctively	IME006	13.5	2	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME006r.jpg	Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines.&nbsp;<div><br></div><div>1 die cuts a single piece leaf.</div><div><br></div><div>Size: 2 1/4" x 3 3/4" </div>	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME011	783583495066	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Stocking Silhouette	Dee's Distinctively	IME011	23	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME011.jpg	Stocking silhouettes dimensional is compatible with Stockings 1, 2 and 3.  Dee's dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines. <div><br></div><div>3 piece die that cuts 6 pieces (Background silhouette, top of stocking and tassel circles). Layer each piece to form your stocking.</div><div><br></div><div>Size: 3.4 x 4.97 in.</div><div><br></div><div><br></div>   	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME016	783583495110	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Bell 1	Dee's Distinctively	IME016	12	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME016.jpg	Compatible with Bell Silhouette IME015.  Created for spectacular new dimension in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines.&nbsp;<div><br></div><div><div>1 piece die cuts 1 piece.</div><div><br></div></div><div>Size: 2/14" x 5" </div>  	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME020	783583495158	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Flourish Set 3	Dee's Distinctively	IME020	22	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME020r.jpg	Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines. <div><br></div><div>4 piece die set that cuts 4 pieces.</div><div><br></div><div>Finished size: 4 x 3.06 in.</div>	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME025	783583495202	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Christmas Stacker Tree 	Dee's Distinctively	IME025	23	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME025.jpg	Each section is cut separately to create a building base for your tree branches.  Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines. <div><br></div><div>5 piece die set. Each die cuts one piece to layer together to form the tree.</div> 	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME030	783583495318	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Border 2	Dee's Distinctively	IME030	20	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME030r.jpg	Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines. <div><br></div><div><div>1 piece die cuts a single border.</div><div><br></div><div>Size: 7.25 x 1.5 in.</div></div>	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME035	783583495387	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Ornament Set 2	Dee's Distinctively	IME035	32	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME035.jpg	Set of 2. Dee's Distinctively Dies are a unique line of dies created for spectacular new dimensions in paper crafting. Compatible with the Big shot, Vagabond, Cuttlebug and Grand Calibaur die cutting machines. <div><br></div><div><div>4 piece die. There are 2 pieces to cut and make a large ornament and 2 to make a smaller ornament.</div><div><br></div><div>Size: 3.27 x 6.25 in.</div></div>	DEFAULT	undefined	undefined	undefined	0.04	OZ	IN	
craft-supplies	IME043	783583495370	UPC	Dee's Distinctively	ArtSupplies	Dimensional Die - Lattice 1 	Dee's Distinctively	IME043	40	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME043.jpg	Tropical 2013 Collection. Single die layout cuts everything in one pass. Can be used for die cutting, stenciling, and masking. Created for spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines. Parts that can be moved around to create your own custom die. <div><br></div><div>1 piece die cuts 1 image.</div><div><br></div><div>Size: 4.59in X 5.36in.&nbsp;</div> 	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME048	783583495417	UPC	Dee's Distinctively	ArtSupplies	Dimensional Die - Fan Set 	Dee's Distinctively	IME048	23	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME048.jpg	Single die layout cuts everything in one pass. Can be used for die cutting, stenciling, and masking. Created for spectacular new dimensions in paper crafting. Compatible with most leading die-cutting machines. Parts that can be moved around to create your own custom die. <div><br></div><div>3 piece die.</div><div><br></div><div>Size: 5.35in X 3.11in.&nbsp;</div><div><br></div> 	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
